CURclassMarker,numTestsEstimated,doneTests,numCrashes,numCandidates,numRaces,time,memory,testMode,not_tested, false_positive, benign, order-dependent, violating, harmful
Running Actul test environment
CURclassMarker,1607,209,44,330,320,2.035,35,i,10,0,301,19,0,0
CURclassMarker,1607,210,44,330,320,2.044,35,i,10,0,301,19,0,0
CURclassMarker,1607,211,45,330,320,2.053,35,i,10,0,301,19,0,0
CURclassMarker,1607,212,45,330,320,2.062,35,i,10,0,301,19,0,0
CURclassMarker,1607,213,45,330,320,2.071,35,i,10,0,301,19,0,0
CURclassMarker,1607,214,45,330,320,2.08,35,i,10,0,301,19,0,0
CURclassMarker,1607,215,46,330,320,2.089,35,i,10,0,301,19,0,0
CURclassMarker,1607,216,46,330,320,2.099,35,i,10,0,301,19,0,0
CURclassMarker,1607,217,47,330,320,2.108,35,i,10,0,301,19,0,0
CURclassMarker,1607,218,47,330,320,2.117,35,i,10,0,301,19,0,0
CURclassMarker,1607,219,48,330,320,2.126,35,i,10,0,301,19,0,0
CURclassMarker,1607,220,48,330,320,2.136,35,i,10,0,301,19,0,0
CURclassMarker,1607,221,48,330,320,2.145,35,i,10,0,301,19,0,0
CURclassMarker,1607,222,48,330,320,2.153,35,i,10,0,301,19,0,0
CURclassMarker,1607,223,49,330,320,2.162,35,i,10,0,301,19,0,0
CURclassMarker,1607,224,49,330,320,2.171,35,i,10,0,301,19,0,0
CURclassMarker,1607,225,49,330,320,2.18,35,i,10,0,301,19,0,0
CURclassMarker,1607,226,49,330,320,2.189,35,i,10,0,301,19,0,0
CURclassMarker,1607,227,50,330,320,2.198,35,i,10,0,301,19,0,0
CURclassMarker,1607,228,50,330,320,2.207,35,i,10,0,301,19,0,0
CURclassMarker,1607,229,50,330,320,2.216,35,i,10,0,301,19,0,0
CURclassMarker,1607,230,50,330,320,2.226,35,i,10,0,301,19,0,0
CURclassMarker,1607,231,51,330,320,2.235,35,i,10,0,301,19,0,0
CURclassMarker,1607,232,51,330,320,2.244,35,i,10,0,301,19,0,0
CURclassMarker,1607,233,51,330,320,2.255,35,i,10,0,301,19,0,0
CURclassMarker,1607,234,51,330,320,2.264,35,i,10,0,301,19,0,0
CURclassMarker,1607,235,52,330,320,2.273,35,i,10,0,301,19,0,0
CURclassMarker,1607,236,52,330,320,2.282,35,i,10,0,301,19,0,0
CURclassMarker,1607,237,52,330,320,2.291,35,i,10,0,301,19,0,0
CURclassMarker,1607,238,52,330,320,2.3,35,i,10,0,301,19,0,0
CURclassMarker,1607,239,53,330,320,2.309,35,i,10,0,301,19,0,0
CURclassMarker,1607,240,53,330,320,2.318,35,i,10,0,301,19,0,0
CURclassMarker,1607,241,53,330,320,2.327,35,i,10,0,301,19,0,0
CURclassMarker,1607,242,53,330,320,2.336,35,i,10,0,301,19,0,0
CURclassMarker,1607,243,54,330,320,2.346,35,i,10,0,301,19,0,0
CURclassMarker,1607,244,54,330,320,2.357,35,i,10,0,301,19,0,0
CURclassMarker,1607,245,54,330,320,2.366,35,i,10,0,301,19,0,0
CURclassMarker,1607,246,54,330,320,2.376,35,i,10,0,301,19,0,0
CURclassMarker,1607,247,55,330,320,2.385,35,i,10,0,301,19,0,0
CURclassMarker,1607,248,55,330,320,2.394,35,i,10,0,301,19,0,0
CURclassMarker,1607,249,55,330,320,2.405,35,i,10,0,301,19,0,0
CURclassMarker,1607,250,55,330,320,2.414,35,i,10,0,301,19,0,0
CURclassMarker,1607,251,56,330,320,2.423,35,i,10,0,301,19,0,0
CURclassMarker,1607,252,56,330,320,2.432,35,i,10,0,301,19,0,0
CURclassMarker,1607,253,56,330,320,2.441,35,i,10,0,301,19,0,0
CURclassMarker,1607,254,56,330,320,2.45,35,i,10,0,301,19,0,0
CURclassMarker,1607,255,57,330,320,2.46,35,i,10,0,301,19,0,0
CURclassMarker,1607,256,57,330,320,2.469,35,i,10,0,301,19,0,0
CURclassMarker,1607,257,57,330,320,2.478,35,i,10,0,301,19,0,0
CURclassMarker,1607,258,57,330,320,2.49,35,i,10,0,301,19,0,0
CURclassMarker,1607,259,58,330,320,2.499,35,i,10,0,301,19,0,0
CURclassMarker,1607,260,58,330,320,2.508,35,i,10,0,301,19,0,0
CURclassMarker,1607,261,58,330,320,2.517,35,i,10,0,301,19,0,0
CURclassMarker,1607,262,59,330,320,2.526,35,i,10,0,302,18,0,0
CURclassMarker,1607,263,60,330,320,2.535,35,i,10,0,302,18,0,0
CURclassMarker,1607,264,60,330,320,2.544,35,i,10,0,302,18,0,0
CURclassMarker,1607,265,60,330,320,2.556,35,i,10,0,302,18,0,0
CURclassMarker,1607,266,60,330,320,2.565,35,i,10,0,302,18,0,0
CURclassMarker,1607,267,61,330,320,2.574,35,i,10,0,302,18,0,0
CURclassMarker,1607,268,61,330,320,2.583,35,i,10,0,302,18,0,0
CURclassMarker,1607,269,61,330,320,2.592,35,i,10,0,302,18,0,0
